#    L    TT             EE             BB             TE          
     2   0.837053E+03   0.352328E-01   0.876731E-04   0.301598E+01
     3   0.815842E+03   0.650381E-01   0.111506E-03   0.380651E+01
     4   0.786452E+03   0.838464E-01   0.121056E-03   0.403676E+01
     5   0.761278E+03   0.867032E-01   0.118472E-03   0.390046E+01
     6   0.742060E+03   0.760416E-01   0.107974E-03   0.356099E+01
     7   0.728634E+03   0.581465E-01   0.939431E-04   0.312883E+01
     8   0.719896E+03   0.395303E-01   0.800895E-04   0.267968E+01
     9   0.715116E+03   0.246078E-01   0.687726E-04   0.225669E+01
    10   0.713437E+03   0.150426E-01   0.610263E-04   0.188514E+01
    11   0.714135E+03   0.102520E-01   0.571785E-04   0.158058E+01
    12   0.717597E+03   0.861724E-02   0.570193E-04   0.135432E+01
    13   0.722217E+03   0.819610E-02   0.599767E-04   0.120426E+01
    14   0.727263E+03   0.796671E-02   0.654268E-04   0.112247E+01
    15   0.733238E+03   0.760112E-02   0.728038E-04   0.109852E+01
    16   0.740699E+03   0.700672E-02   0.816004E-04   0.112138E+01
    17   0.749494E+03   0.655863E-02   0.914838E-04   0.117698E+01
    18   0.758592E+03   0.648168E-02   0.102193E-03   0.125273E+01
    19   0.768907E+03   0.678002E-02   0.113579E-03   0.133818E+01
    20   0.778873E+03   0.742880E-02   0.125536E-03   0.142159E+01
    21   0.788869E+03   0.824055E-02   0.138022E-03   0.149838E+01
    22   0.799178E+03   0.910172E-02   0.151013E-03   0.156542E+01
    23   0.809617E+03   0.999781E-02   0.164492E-03   0.162320E+01
    24   0.820250E+03   0.109259E-01   0.178440E-03   0.167304E+01
    25   0.831048E+03   0.120021E-01   0.192853E-03   0.171589E+01
    26   0.841848E+03   0.133153E-01   0.207726E-03   0.175410E+01
    27   0.852873E+03   0.148931E-01   0.223061E-03   0.178882E+01
    28   0.863967E+03   0.167637E-01   0.238861E-03   0.182208E+01
    29   0.875230E+03   0.189070E-01   0.255122E-03   0.185535E+01
    30   0.886606E+03   0.213026E-01   0.271837E-03   0.188848E+01
    31   0.897896E+03   0.239371E-01   0.288993E-03   0.192159E+01
