#    L    TT             EE             TE             PP             TP          
     2   0.834654E+03   0.351725E-01   0.301577E+01   0.118682E+07   0.182444E+05
     3   0.813955E+03   0.649506E-01   0.380944E+01   0.183582E+07   0.228829E+05
     4   0.784688E+03   0.837419E-01   0.404087E+01   0.241546E+07   0.254025E+05
     5   0.759561E+03   0.865942E-01   0.390490E+01   0.293143E+07   0.267354E+05
     6   0.740362E+03   0.759380E-01   0.356528E+01   0.339082E+07   0.273735E+05
     7   0.726942E+03   0.580540E-01   0.313273E+01   0.380158E+07   0.275831E+05
     8   0.718202E+03   0.394510E-01   0.268312E+01   0.417009E+07   0.274689E+05
     9   0.713415E+03   0.245402E-01   0.225967E+01   0.450216E+07   0.271095E+05
    10   0.711725E+03   0.149834E-01   0.188772E+01   0.480183E+07   0.266036E+05
    11   0.712410E+03   0.101969E-01   0.158283E+01   0.507418E+07   0.260559E+05
    12   0.715861E+03   0.856210E-02   0.135633E+01   0.532095E+07   0.254968E+05
    13   0.720470E+03   0.813753E-02   0.120610E+01   0.554489E+07   0.249349E+05
    14   0.725503E+03   0.790203E-02   0.112423E+01   0.574901E+07   0.243757E+05
    15   0.731462E+03   0.752840E-02   0.110026E+01   0.593516E+07   0.238144E+05
    16   0.738905E+03   0.692465E-02   0.112316E+01   0.610492E+07   0.232476E+05
    17   0.747683E+03   0.646631E-02   0.117884E+01   0.625997E+07   0.226873E+05
    18   0.756763E+03   0.637843E-02   0.125471E+01   0.640178E+07   0.221461E+05
    19   0.767063E+03   0.666526E-02   0.134031E+01   0.653112E+07   0.216250E+05
    20   0.777014E+03   0.730194E-02   0.142390E+01   0.664864E+07   0.211217E+05
    21   0.786996E+03   0.810104E-02   0.150089E+01   0.675559E+07   0.206336E+05
    22   0.797292E+03   0.894901E-02   0.156815E+01   0.685316E+07   0.201573E+05
    23   0.807718E+03   0.983137E-02   0.162617E+01   0.694191E+07   0.196850E+05
    24   0.818340E+03   0.107453E-01   0.167627E+01   0.702231E+07   0.192118E+05
    25   0.829126E+03   0.118067E-01   0.171939E+01   0.709504E+07   0.187482E+05
    26   0.839914E+03   0.131048E-01   0.175788E+01   0.716077E+07   0.183049E+05
    27   0.850928E+03   0.146669E-01   0.179291E+01   0.722005E+07   0.178767E+05
    28   0.862012E+03   0.165213E-01   0.182647E+01   0.727330E+07   0.174571E+05
    29   0.873265E+03   0.186480E-01   0.186006E+01   0.732059E+07   0.170479E+05
    30   0.884631E+03   0.210264E-01   0.189352E+01   0.736203E+07   0.166529E+05
    31   0.895912E+03   0.236433E-01   0.192698E+01   0.739825E+07   0.162753E+05
    32   0.907288E+03   0.264785E-01   0.195987E+01   0.742993E+07   0.159170E+05
    33   0.918803E+03   0.295256E-01   0.198886E+01   0.745731E+07   0.155763E+05
    34   0.930351E+03   0.327932E-01   0.201134E+01   0.748057E+07   0.152499E+05
    35   0.941976E+03   0.362900E-01   0.202747E+01   0.749996E+07   0.149326E+05
    36   0.953652E+03   0.400251E-01   0.203645E+01   0.751573E+07   0.146202E+05
    37   0.965313E+03   0.439783E-01   0.203478E+01   0.752812E+07   0.143139E+05
    38   0.977179E+03   0.481342E-01   0.202093E+01   0.753734E+07   0.140160E+05
    39   0.989259E+03   0.524971E-01   0.199523E+01   0.754353E+07   0.137268E+05
    40   0.100134E+04   0.570824E-01   0.195821E+01   0.754682E+07   0.134460E+05
    41   0.101358E+04   0.619097E-01   0.191011E+01   0.754736E+07   0.131735E+05
    42   0.102575E+04   0.669977E-01   0.185058E+01   0.754530E+07   0.129088E+05
    43   0.103798E+04   0.723642E-01   0.177918E+01   0.754078E+07   0.126513E+05
    44   0.105012E+04   0.780124E-01   0.169635E+01   0.753397E+07   0.124004E+05
    45   0.106252E+04   0.839559E-01   0.160259E+01   0.752502E+07   0.121555E+05
    46   0.107511E+04   0.902059E-01   0.149665E+01   0.751408E+07   0.119162E+05
    47   0.108774E+04   0.967512E-01   0.137993E+01   0.750126E+07   0.116827E+05
    48   0.110035E+04   0.103582E+00   0.125720E+01   0.748668E+07   0.114557E+05
