#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.834654E+03   0.301577E+01   0.195723E-02   0.301577E+01   0.351725E-01  -0.128063E-04   0.195723E-02  -0.128063E-04   0.572132E-07
     3   0.813955E+03   0.380944E+01   0.205728E-02   0.380944E+01   0.649506E-01  -0.164970E-04   0.205728E-02  -0.164970E-04   0.699256E-07
     4   0.784688E+03   0.404087E+01   0.207308E-02   0.404087E+01   0.837419E-01  -0.178631E-04   0.207308E-02  -0.178631E-04   0.808626E-07
     5   0.759561E+03   0.390490E+01   0.205226E-02   0.390490E+01   0.865942E-01  -0.173426E-04   0.205226E-02  -0.173426E-04   0.904420E-07
     6   0.740362E+03   0.356528E+01   0.201430E-02   0.356528E+01   0.759380E-01  -0.153816E-04   0.201430E-02  -0.153816E-04   0.988839E-07
     7   0.726942E+03   0.313273E+01   0.196791E-02   0.313273E+01   0.580540E-01  -0.124479E-04   0.196791E-02  -0.124479E-04   0.106384E-06
     8   0.718202E+03   0.268312E+01   0.191401E-02   0.268312E+01   0.394510E-01  -0.898782E-05   0.191401E-02  -0.898782E-05   0.113078E-06
     9   0.713415E+03   0.225967E+01   0.185409E-02   0.225967E+01   0.245402E-01  -0.545459E-05   0.185409E-02  -0.545459E-05   0.119087E-06
    10   0.711725E+03   0.188772E+01   0.179227E-02   0.188772E+01   0.149834E-01  -0.226700E-05   0.179227E-02  -0.226700E-05   0.124486E-06
    11   0.712410E+03   0.158283E+01   0.173366E-02   0.158283E+01   0.101969E-01   0.297099E-06   0.173366E-02   0.297099E-06   0.129381E-06
    12   0.715861E+03   0.135633E+01   0.167880E-02   0.135633E+01   0.856210E-02   0.213488E-05   0.167880E-02   0.213488E-05   0.133795E-06
    13   0.720470E+03   0.120610E+01   0.162727E-02   0.120610E+01   0.813753E-02   0.322184E-05   0.162727E-02   0.322184E-05   0.137781E-06
    14   0.725503E+03   0.112423E+01   0.157861E-02   0.112423E+01   0.790203E-02   0.356145E-05   0.157861E-02   0.356145E-05   0.141399E-06
    15   0.731462E+03   0.110026E+01   0.153199E-02   0.110026E+01   0.752840E-02   0.322514E-05   0.153199E-02   0.322514E-05   0.144683E-06
    16   0.738905E+03   0.112316E+01   0.148678E-02   0.112316E+01   0.692465E-02   0.233934E-05   0.148678E-02   0.233934E-05   0.147661E-06
    17   0.747683E+03   0.117884E+01   0.144342E-02   0.117884E+01   0.646631E-02   0.118213E-05   0.144342E-02   0.118213E-05   0.150365E-06
    18   0.756763E+03   0.125471E+01   0.140247E-02   0.125471E+01   0.637843E-02   0.278280E-07   0.140247E-02   0.278280E-07   0.152824E-06
    19   0.767063E+03   0.134031E+01   0.136378E-02   0.134031E+01   0.666526E-02  -0.101623E-05   0.136378E-02  -0.101623E-05   0.155049E-06
    20   0.777014E+03   0.142390E+01   0.132705E-02   0.142390E+01   0.730194E-02  -0.188899E-05   0.132705E-02  -0.188899E-05   0.157051E-06
    21   0.786996E+03   0.150089E+01   0.129198E-02   0.150089E+01   0.810104E-02  -0.254764E-05   0.129198E-02  -0.254764E-05   0.158854E-06
    22   0.797292E+03   0.156815E+01   0.125824E-02   0.156815E+01   0.894901E-02  -0.294965E-05   0.125824E-02  -0.294965E-05   0.160483E-06
    23   0.807718E+03   0.162617E+01   0.122528E-02   0.162617E+01   0.983137E-02  -0.303547E-05   0.122528E-02  -0.303547E-05   0.161947E-06
    24   0.818340E+03   0.167627E+01   0.119271E-02   0.167627E+01   0.107453E-01  -0.278017E-05   0.119271E-02  -0.278017E-05   0.163255E-06
    25   0.829126E+03   0.171939E+01   0.116114E-02   0.171939E+01   0.118067E-01  -0.231423E-05   0.116114E-02  -0.231423E-05   0.164418E-06
    26   0.839914E+03   0.175788E+01   0.113116E-02   0.175788E+01   0.131048E-01  -0.179213E-05   0.113116E-02  -0.179213E-05   0.165451E-06
    27   0.850928E+03   0.179291E+01   0.110244E-02   0.179291E+01   0.146669E-01  -0.130896E-05   0.110244E-02  -0.130896E-05   0.166363E-06
    28   0.862012E+03   0.182647E+01   0.107450E-02   0.182647E+01   0.165213E-01  -0.925736E-06   0.107450E-02  -0.925736E-06   0.167163E-06
    29   0.873265E+03   0.186006E+01   0.104744E-02   0.186006E+01   0.186480E-01  -0.626493E-06   0.104744E-02  -0.626493E-06   0.167850E-06
    30   0.884631E+03   0.189352E+01   0.102147E-02   0.189352E+01   0.210264E-01  -0.391433E-06   0.102147E-02  -0.391433E-06   0.168425E-06
    31   0.895912E+03   0.192698E+01   0.996746E-03   0.192698E+01   0.236433E-01  -0.262352E-06   0.996746E-03  -0.262352E-06   0.168902E-06
    32   0.907288E+03   0.195987E+01   0.973377E-03   0.195987E+01   0.264785E-01  -0.285359E-06   0.973377E-03  -0.285359E-06   0.169293E-06
    33   0.918803E+03   0.198886E+01   0.951230E-03   0.198886E+01   0.295256E-01  -0.462212E-06   0.951230E-03  -0.462212E-06   0.169605E-06
    34   0.930351E+03   0.201134E+01   0.930087E-03   0.201134E+01   0.327932E-01  -0.765186E-06   0.930087E-03  -0.765186E-06   0.169840E-06
    35   0.941976E+03   0.202747E+01   0.909621E-03   0.202747E+01   0.362900E-01  -0.109296E-05   0.909621E-03  -0.109296E-05   0.170003E-06
    36   0.953652E+03   0.203645E+01   0.889561E-03   0.203645E+01   0.400251E-01  -0.134493E-05   0.889561E-03  -0.134493E-05   0.170097E-06
    37   0.965313E+03   0.203478E+01   0.869974E-03   0.203478E+01   0.439783E-01  -0.149697E-05   0.869974E-03  -0.149697E-05   0.170129E-06
    38   0.977179E+03   0.202093E+01   0.850982E-03   0.202093E+01   0.481342E-01  -0.154952E-05   0.850982E-03  -0.154952E-05   0.170101E-06
    39   0.989259E+03   0.199523E+01   0.832598E-03   0.199523E+01   0.524971E-01  -0.152502E-05   0.832598E-03  -0.152502E-05   0.170017E-06
    40   0.100134E+04   0.195821E+01   0.814804E-03   0.195821E+01   0.570824E-01  -0.145137E-05   0.814804E-03  -0.145137E-05   0.169879E-06
    41   0.101358E+04   0.191011E+01   0.797580E-03   0.191011E+01   0.619097E-01  -0.135333E-05   0.797580E-03  -0.135333E-05   0.169689E-06
    42   0.102575E+04   0.185058E+01   0.780889E-03   0.185058E+01   0.669977E-01  -0.124308E-05   0.780889E-03  -0.124308E-05   0.169450E-06
    43   0.103798E+04   0.177918E+01   0.764691E-03   0.177918E+01   0.723642E-01  -0.112966E-05   0.764691E-03  -0.112966E-05   0.169166E-06
    44   0.105012E+04   0.169635E+01   0.748944E-03   0.169635E+01   0.780124E-01  -0.102212E-05   0.748944E-03  -0.102212E-05   0.168838E-06
    45   0.106252E+04   0.160259E+01   0.733609E-03   0.160259E+01   0.839559E-01  -0.929495E-06   0.733609E-03  -0.929495E-06   0.168471E-06
    46   0.107511E+04   0.149665E+01   0.718656E-03   0.149665E+01   0.902059E-01  -0.859871E-06   0.718656E-03  -0.859871E-06   0.168067E-06
    47   0.108774E+04   0.137993E+01   0.704099E-03   0.137993E+01   0.967512E-01  -0.817545E-06   0.704099E-03  -0.817545E-06   0.167629E-06
    48   0.110035E+04   0.125720E+01   0.689966E-03   0.125720E+01   0.103582E+00  -0.805862E-06   0.689966E-03  -0.805862E-06   0.167158E-06
    49   0.111302E+04   0.113262E+01   0.676281E-03   0.113262E+01   0.110666E+00  -0.828167E-06   0.676281E-03  -0.828167E-06   0.166656E-06
    50   0.112598E+04   0.100356E+01   0.663072E-03   0.100356E+01   0.117965E+00  -0.887804E-06   0.663072E-03  -0.887804E-06   0.166126E-06
    51   0.113903E+04   0.865650E+00   0.650353E-03   0.865650E+00   0.125437E+00  -0.984128E-06   0.650353E-03  -0.984128E-06   0.165570E-06
    52   0.115238E+04   0.713094E+00   0.638095E-03   0.713094E+00   0.133171E+00  -0.110053E-05   0.638095E-03  -0.110053E-05   0.164988E-06
    53   0.116567E+04   0.541596E+00   0.626257E-03   0.541596E+00   0.141318E+00  -0.121641E-05   0.626257E-03  -0.121641E-05   0.164383E-06
    54   0.117880E+04   0.354826E+00   0.614797E-03   0.354826E+00   0.149877E+00  -0.131116E-05   0.614797E-03  -0.131116E-05   0.163756E-06
    55   0.119201E+04   0.156572E+00   0.603675E-03   0.156572E+00   0.158828E+00  -0.136420E-05   0.603675E-03  -0.136420E-05   0.163108E-06
    56   0.120551E+04  -0.552415E-01   0.592852E-03  -0.552415E-01   0.168032E+00  -0.136195E-05   0.592852E-03  -0.136195E-05   0.162440E-06
    57   0.121924E+04  -0.279833E+00   0.582296E-03  -0.279833E+00   0.177382E+00  -0.131903E-05   0.582296E-03  -0.131903E-05   0.161753E-06
    58   0.123321E+04  -0.516940E+00   0.571978E-03  -0.516940E+00   0.186883E+00  -0.125706E-05   0.571978E-03  -0.125706E-05   0.161049E-06
