#    L    TT             EE             BB             TE          
     2   0.837050E+03   0.352317E-01   0.865589E-04   0.301598E+01
     3   0.815837E+03   0.650359E-01   0.109277E-03   0.380651E+01
     4   0.786443E+03   0.838427E-01   0.117340E-03   0.403676E+01
     5   0.761265E+03   0.866976E-01   0.112895E-03   0.390046E+01
     6   0.742041E+03   0.760337E-01   0.100162E-03   0.356099E+01
     7   0.728609E+03   0.581361E-01   0.835207E-04   0.312883E+01
     8   0.719864E+03   0.395169E-01   0.666800E-04   0.267969E+01
     9   0.715077E+03   0.245910E-01   0.519978E-04   0.225669E+01
    10   0.713389E+03   0.150221E-01   0.405063E-04   0.188515E+01
    11   0.714077E+03   0.102273E-01   0.325319E-04   0.158060E+01
    12   0.717528E+03   0.858809E-02   0.278628E-04   0.135434E+01
    13   0.722138E+03   0.816206E-02   0.259250E-04   0.120428E+01
    14   0.727173E+03   0.792739E-02   0.260927E-04   0.112251E+01
    15   0.733135E+03   0.755614E-02   0.277981E-04   0.109857E+01
    16   0.740583E+03   0.695567E-02   0.305317E-04   0.112144E+01
    17   0.749365E+03   0.650114E-02   0.339588E-04   0.117706E+01
    18   0.758448E+03   0.641736E-02   0.378165E-04   0.125283E+01
    19   0.768748E+03   0.670847E-02   0.419529E-04   0.133829E+01
    20   0.778699E+03   0.734963E-02   0.462605E-04   0.142173E+01
    21   0.788678E+03   0.815336E-02   0.506961E-04   0.149855E+01
    22   0.798971E+03   0.900612E-02   0.552340E-04   0.156562E+01
    23   0.809392E+03   0.989340E-02   0.598533E-04   0.162343E+01
    24   0.820009E+03   0.108123E-01   0.645364E-04   0.167331E+01
    25   0.830789E+03   0.118789E-01   0.692750E-04   0.171621E+01
    26   0.841570E+03   0.131821E-01   0.740644E-04   0.175446E+01
    27   0.852576E+03   0.147495E-01   0.789056E-04   0.178923E+01
    28   0.863651E+03   0.166093E-01   0.837993E-04   0.182255E+01
    29   0.874895E+03   0.187415E-01   0.887411E-04   0.185588E+01
    30   0.886251E+03   0.211256E-01   0.937235E-04   0.188907E+01
    31   0.897521E+03   0.237482E-01   0.987335E-04   0.192225E+01
    32   0.908886E+03   0.265892E-01   0.103759E-03   0.195488E+01
    33   0.920388E+03   0.296421E-01   0.108798E-03   0.198359E+01
    34   0.931924E+03   0.329156E-01   0.113848E-03   0.200579E+01
    35   0.943535E+03   0.364183E-01   0.118906E-03   0.202163E+01
    36   0.955197E+03   0.401594E-01   0.123968E-03   0.203033E+01
    37   0.966843E+03   0.441187E-01   0.129036E-03   0.202838E+01
    38   0.978695E+03   0.482807E-01   0.134109E-03   0.201425E+01
    39   0.990760E+03   0.526499E-01   0.139177E-03   0.198827E+01
    40   0.100283E+04   0.572414E-01   0.144226E-03   0.195098E+01
    41   0.101505E+04   0.620750E-01   0.149245E-03   0.190261E+01
    42   0.102720E+04   0.671693E-01   0.154229E-03   0.184281E+01
    43   0.103942E+04   0.725421E-01   0.159173E-03   0.177115E+01
    44   0.105154E+04   0.781967E-01   0.164073E-03   0.168805E+01
    45   0.106392E+04   0.841466E-01   0.168927E-03   0.159405E+01
    46   0.107649E+04   0.904029E-01   0.173730E-03   0.148785E+01
    47   0.108910E+04   0.969545E-01   0.178474E-03   0.137089E+01
    48   0.110169E+04   0.103792E+00   0.183150E-03   0.124792E+01
    49   0.111434E+04   0.110882E+00   0.187750E-03   0.112310E+01
    50   0.112729E+04   0.118187E+00   0.192267E-03   0.993823E+00
    51   0.114032E+04   0.125666E+00   0.196692E-03   0.855698E+00
    52   0.115365E+04   0.133406E+00   0.201020E-03   0.702935E+00
    53   0.116691E+04   0.141560E+00   0.205247E-03   0.531238E+00
    54   0.118002E+04   0.150124E+00   0.209369E-03   0.344277E+00
    55   0.119321E+04   0.159081E+00   0.213381E-03   0.145840E+00
    56   0.120669E+04   0.168292E+00   0.217280E-03  -0.661477E-01
    57   0.122040E+04   0.177647E+00   0.221061E-03  -0.290905E+00
    58   0.123435E+04   0.187155E+00   0.224721E-03  -0.528168E+00
    59   0.124841E+04   0.196852E+00   0.228258E-03  -0.777696E+00
    60   0.126259E+04   0.206791E+00   0.231666E-03  -0.103781E+01
    61   0.127719E+04   0.217064E+00   0.234944E-03  -0.130692E+01
    62   0.129162E+04   0.227654E+00   0.238088E-03  -0.158611E+01
    63   0.130610E+04   0.238521E+00   0.241095E-03  -0.187677E+01
    64   0.132093E+04   0.249673E+00   0.243963E-03  -0.218053E+01
    65   0.133573E+04   0.261084E+00   0.246689E-03  -0.249839E+01
    66   0.135080E+04   0.272685E+00   0.249270E-03  -0.282886E+01
    67   0.136597E+04   0.284477E+00   0.251705E-03  -0.316948E+01
    68   0.138154E+04   0.296501E+00   0.253993E-03  -0.351880E+01
    69   0.139726E+04   0.308719E+00   0.256133E-03  -0.387535E+01
    70   0.141327E+04   0.321171E+00   0.258125E-03  -0.424103E+01
    71   0.142941E+04   0.333845E+00   0.259968E-03  -0.461837E+01
    72   0.144571E+04   0.346713E+00   0.261661E-03  -0.500842E+01
    73   0.146212E+04   0.359736E+00   0.263205E-03  -0.541135E+01
    74   0.147869E+04   0.372898E+00   0.264600E-03  -0.582583E+01
