#    L    TT             EE             BB             TE          
     2   0.876392E+03   0.369322E-01   0.108125E-05   0.316657E+01
     3   0.854660E+03   0.682003E-01   0.216312E-05   0.399992E+01
     4   0.823934E+03   0.879326E-01   0.360658E-05   0.424292E+01
     5   0.797555E+03   0.909293E-01   0.541246E-05   0.410015E+01
     6   0.777401E+03   0.797424E-01   0.758176E-05   0.374355E+01
     7   0.763317E+03   0.609669E-01   0.101157E-04   0.328937E+01
     8   0.754146E+03   0.414366E-01   0.130156E-04   0.281728E+01
     9   0.749128E+03   0.257835E-01   0.162829E-04   0.237265E+01
    10   0.747363E+03   0.157525E-01   0.199195E-04   0.198210E+01
    11   0.748092E+03   0.107306E-01   0.239269E-04   0.166196E+01
    12   0.751717E+03   0.901332E-02   0.283072E-04   0.142414E+01
    13   0.756576E+03   0.857746E-02   0.330623E-04   0.126638E+01
    14   0.761875E+03   0.833668E-02   0.381943E-04   0.118040E+01
    15   0.768142E+03   0.794851E-02   0.437052E-04   0.115523E+01
    16   0.775972E+03   0.732159E-02   0.495973E-04   0.117924E+01
    17   0.785200E+03   0.684546E-02   0.558727E-04   0.123771E+01
    18   0.794771E+03   0.675927E-02   0.625336E-04   0.131738E+01
    19   0.805579E+03   0.706803E-02   0.695821E-04   0.140721E+01
    20   0.816043E+03   0.774347E-02   0.770202E-04   0.149495E+01
    21   0.826542E+03   0.859081E-02   0.848500E-04   0.157576E+01
    22   0.837367E+03   0.948970E-02   0.930734E-04   0.164636E+01
    23   0.848333E+03   0.104244E-01   0.101692E-03   0.170724E+01
    24   0.859505E+03   0.113932E-01   0.110708E-03   0.175980E+01
    25   0.870847E+03   0.125168E-01   0.120123E-03   0.180504E+01
    26   0.882196E+03   0.138893E-01   0.129938E-03   0.184540E+01
    27   0.893777E+03   0.155398E-01   0.140154E-03   0.188213E+01
    28   0.905436E+03   0.174974E-01   0.150772E-03   0.191732E+01
    29   0.917270E+03   0.197413E-01   0.161794E-03   0.195252E+01
    30   0.929220E+03   0.222500E-01   0.173219E-03   0.198759E+01
    31   0.941089E+03   0.250092E-01   0.185049E-03   0.202264E+01
    32   0.953057E+03   0.279981E-01   0.197283E-03   0.205710E+01
    33   0.965166E+03   0.312099E-01   0.209923E-03   0.208746E+01
    34   0.977314E+03   0.346536E-01   0.222966E-03   0.211099E+01
    35   0.989540E+03   0.383383E-01   0.236414E-03   0.212782E+01
    36   0.100182E+04   0.422736E-01   0.250265E-03   0.213712E+01
    37   0.101409E+04   0.464382E-01   0.264518E-03   0.213529E+01
    38   0.102657E+04   0.508156E-01   0.279173E-03   0.212068E+01
    39   0.103928E+04   0.554111E-01   0.294229E-03   0.209358E+01
    40   0.105199E+04   0.602405E-01   0.309683E-03   0.205456E+01
    41   0.106485E+04   0.653247E-01   0.325535E-03   0.200387E+01
    42   0.107765E+04   0.706827E-01   0.341783E-03   0.194118E+01
    43   0.109052E+04   0.763330E-01   0.358424E-03   0.186608E+01
    44   0.110329E+04   0.822792E-01   0.375457E-03   0.177902E+01
    45   0.111634E+04   0.885354E-01   0.392880E-03   0.168054E+01
    46   0.112958E+04   0.951131E-01   0.410690E-03   0.156938E+01
    47   0.114286E+04   0.102001E+00   0.428885E-03   0.144699E+01
    48   0.115613E+04   0.109189E+00   0.447463E-03   0.131813E+01
