#    L    TT             EE             BB             TE          
     2   0.879411E+03   0.370068E-01   0.110145E-03   0.316683E+01
     3   0.857032E+03   0.683078E-01   0.139852E-03   0.399623E+01
     4   0.826146E+03   0.880596E-01   0.151455E-03   0.423774E+01
     5   0.799702E+03   0.910597E-01   0.147661E-03   0.409456E+01
     6   0.779517E+03   0.798631E-01   0.133786E-03   0.373815E+01
     7   0.765418E+03   0.610702E-01   0.115352E-03   0.328446E+01
     8   0.756241E+03   0.415196E-01   0.970324E-04   0.281295E+01
     9   0.751222E+03   0.258475E-01   0.818001E-04   0.236890E+01
    10   0.749459E+03   0.158012E-01   0.709574E-04   0.197886E+01
    11   0.750192E+03   0.107690E-01   0.649172E-04   0.165915E+01
    12   0.753819E+03   0.904607E-02   0.634143E-04   0.142164E+01
    13   0.758678E+03   0.860837E-02   0.657278E-04   0.126409E+01
    14   0.763978E+03   0.836863E-02   0.710711E-04   0.117823E+01
    15   0.770249E+03   0.798346E-02   0.787309E-04   0.115309E+01
    16   0.778085E+03   0.736068E-02   0.880673E-04   0.117707E+01
    17   0.787319E+03   0.688935E-02   0.986609E-04   0.123546E+01
    18   0.796894E+03   0.680831E-02   0.110182E-03   0.131500E+01
    19   0.807703E+03   0.712248E-02   0.122443E-03   0.140467E+01
    20   0.818165E+03   0.780355E-02   0.135308E-03   0.149222E+01
    21   0.828661E+03   0.865674E-02   0.148727E-03   0.157282E+01
    22   0.839482E+03   0.956166E-02   0.162668E-03   0.164317E+01
    23   0.850443E+03   0.105026E-01   0.177107E-03   0.170379E+01
    24   0.861608E+03   0.114777E-01   0.192024E-03   0.175607E+01
    25   0.872942E+03   0.126077E-01   0.207409E-03   0.180103E+01
    26   0.884282E+03   0.139868E-01   0.223259E-03   0.184109E+01
    27   0.895853E+03   0.156439E-01   0.239575E-03   0.187750E+01
    28   0.907501E+03   0.176083E-01   0.256359E-03   0.191238E+01
    29   0.919324E+03   0.198592E-01   0.273607E-03   0.194725E+01
    30   0.931261E+03   0.223750E-01   0.291311E-03   0.198198E+01
    31   0.943117E+03   0.251414E-01   0.309453E-03   0.201669E+01
    32   0.955070E+03   0.281376E-01   0.328020E-03   0.205080E+01
    33   0.967164E+03   0.313568E-01   0.347007E-03   0.208082E+01
    34   0.979295E+03   0.348079E-01   0.366414E-03   0.210399E+01
    35   0.991505E+03   0.385000E-01   0.386235E-03   0.212046E+01
    36   0.100377E+04   0.424428E-01   0.406464E-03   0.212941E+01
    37   0.101602E+04   0.466151E-01   0.427104E-03   0.212723E+01
    38   0.102848E+04   0.510003E-01   0.448151E-03   0.211226E+01
    39   0.104117E+04   0.556035E-01   0.469592E-03   0.208481E+01
    40   0.105386E+04   0.604409E-01   0.491409E-03   0.204545E+01
    41   0.106670E+04   0.655330E-01   0.513584E-03   0.199442E+01
    42   0.107948E+04   0.708989E-01   0.536111E-03   0.193139E+01
    43   0.109233E+04   0.765572E-01   0.558981E-03   0.185596E+01
    44   0.110508E+04   0.825114E-01   0.582189E-03   0.176857E+01
    45   0.111810E+04   0.887756E-01   0.605728E-03   0.166977E+01
    46   0.113132E+04   0.953613E-01   0.629589E-03   0.155830E+01
    47   0.114458E+04   0.102257E+00   0.653761E-03   0.143560E+01
    48   0.115782E+04   0.109453E+00   0.678232E-03   0.130643E+01
    49   0.117113E+04   0.116917E+00   0.702987E-03   0.117498E+01
    50   0.118474E+04   0.124608E+00   0.728015E-03   0.103862E+01
    51   0.119844E+04   0.132488E+00   0.753302E-03   0.892975E+00
