#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.879408E+03   0.370057E-01   0.109064E-03   0.316683E+01   0.583591E-07   0.204228E-02  -0.134472E-04
     3   0.857026E+03   0.683056E-01   0.137689E-03   0.399623E+01   0.710645E-07   0.214394E-02  -0.173225E-04
     4   0.826137E+03   0.880560E-01   0.147848E-03   0.423774E+01   0.819957E-07   0.215816E-02  -0.187572E-04
     5   0.799688E+03   0.910543E-01   0.142248E-03   0.409456E+01   0.915564E-07   0.213453E-02  -0.182107E-04
     6   0.779498E+03   0.798556E-01   0.126204E-03   0.373815E+01   0.999595E-07   0.209354E-02  -0.161517E-04
     7   0.765392E+03   0.610601E-01   0.105236E-03   0.328446E+01   0.107409E-06   0.204416E-02  -0.130712E-04
     8   0.756209E+03   0.415066E-01   0.840168E-04   0.281296E+01   0.114050E-06   0.198714E-02  -0.943822E-05
     9   0.751182E+03   0.258312E-01   0.655172E-04   0.236891E+01   0.120004E-06   0.192398E-02  -0.572851E-05
    10   0.749410E+03   0.157813E-01   0.510380E-04   0.197887E+01   0.125346E-06   0.185898E-02  -0.238152E-05
    11   0.750133E+03   0.107451E-01   0.409903E-04   0.165916E+01   0.130182E-06   0.179742E-02   0.310999E-06
    12   0.753749E+03   0.901776E-02   0.351071E-04   0.142166E+01   0.134533E-06   0.173989E-02   0.224026E-05
    13   0.758597E+03   0.857531E-02   0.326655E-04   0.126412E+01   0.138453E-06   0.168587E-02   0.338203E-05
    14   0.763886E+03   0.833045E-02   0.328768E-04   0.117827E+01   0.142001E-06   0.163489E-02   0.373840E-05
    15   0.770144E+03   0.793977E-02   0.350256E-04   0.115314E+01   0.145211E-06   0.158606E-02   0.338531E-05
    16   0.777967E+03   0.731111E-02   0.384699E-04   0.117714E+01   0.148111E-06   0.153871E-02   0.245466E-05
    17   0.787187E+03   0.683352E-02   0.427881E-04   0.123554E+01   0.150735E-06   0.149331E-02   0.124033E-05
    18   0.796747E+03   0.674583E-02   0.476487E-04   0.131510E+01   0.153111E-06   0.145046E-02   0.285873E-07
    19   0.807541E+03   0.705297E-02   0.528607E-04   0.140479E+01   0.155251E-06   0.140998E-02  -0.106783E-05
    20   0.817987E+03   0.772663E-02   0.582882E-04   0.149237E+01   0.157166E-06   0.137157E-02  -0.198429E-05
    21   0.828468E+03   0.857202E-02   0.638771E-04   0.157299E+01   0.158882E-06   0.133491E-02  -0.267593E-05
    22   0.839272E+03   0.946876E-02   0.695949E-04   0.164337E+01   0.160421E-06   0.129965E-02  -0.309815E-05
    23   0.850216E+03   0.104011E-01   0.754152E-04   0.170403E+01   0.161796E-06   0.126520E-02  -0.318815E-05
    24   0.861362E+03   0.113673E-01   0.813159E-04   0.175635E+01   0.163012E-06   0.123118E-02  -0.291982E-05
    25   0.872679E+03   0.124880E-01   0.872865E-04   0.180135E+01   0.164084E-06   0.119821E-02  -0.243067E-05
    26   0.884000E+03   0.138573E-01   0.933212E-04   0.184146E+01   0.165026E-06   0.116691E-02  -0.188241E-05
    27   0.895552E+03   0.155044E-01   0.994210E-04   0.187793E+01   0.165846E-06   0.113692E-02  -0.137508E-05
    28   0.907181E+03   0.174583E-01   0.105587E-03   0.191287E+01   0.166555E-06   0.110777E-02  -0.972750E-06
    29   0.918984E+03   0.196983E-01   0.111814E-03   0.194780E+01   0.167151E-06   0.107955E-02  -0.658501E-06
    30   0.930901E+03   0.222028E-01   0.118092E-03   0.198260E+01   0.167635E-06   0.105246E-02  -0.411643E-06
    31   0.942736E+03   0.249577E-01   0.124404E-03   0.201738E+01   0.168022E-06   0.102670E-02  -0.276147E-06
    32   0.954668E+03   0.279419E-01   0.130736E-03   0.205157E+01   0.168325E-06   0.100235E-02  -0.300299E-06
    33   0.966742E+03   0.311488E-01   0.137085E-03   0.208167E+01   0.168549E-06   0.979288E-03  -0.485973E-06
    34   0.978852E+03   0.345872E-01   0.143448E-03   0.210493E+01   0.168697E-06   0.957283E-03  -0.804125E-06
    35   0.991040E+03   0.382662E-01   0.149821E-03   0.212149E+01   0.168773E-06   0.935990E-03  -0.114821E-05
    36   0.100328E+04   0.421957E-01   0.156200E-03   0.213054E+01   0.168784E-06   0.915122E-03  -0.141275E-05
    37   0.101551E+04   0.463542E-01   0.162586E-03   0.212846E+01   0.168732E-06   0.894752E-03  -0.157238E-05
    38   0.102795E+04   0.507254E-01   0.168978E-03   0.211360E+01   0.168622E-06   0.875009E-03  -0.162751E-05
    39   0.104061E+04   0.553143E-01   0.175363E-03   0.208626E+01   0.168458E-06   0.855906E-03  -0.160176E-05
    40   0.105328E+04   0.601369E-01   0.181725E-03   0.204702E+01   0.168241E-06   0.837424E-03  -0.152444E-05
    41   0.106611E+04   0.652141E-01   0.188049E-03   0.199610E+01   0.167973E-06   0.819540E-03  -0.142148E-05
    42   0.107886E+04   0.705648E-01   0.194328E-03   0.193320E+01   0.167659E-06   0.802215E-03  -0.130568E-05
    43   0.109168E+04   0.762075E-01   0.200557E-03   0.185789E+01   0.167300E-06   0.785406E-03  -0.118659E-05
    44   0.110441E+04   0.821459E-01   0.206732E-03   0.177063E+01   0.166900E-06   0.769071E-03  -0.107369E-05
    45   0.111741E+04   0.883941E-01   0.212848E-03   0.167196E+01   0.166462E-06   0.753167E-03  -0.976453E-06
    46   0.113060E+04   0.949635E-01   0.218900E-03   0.156062E+01   0.165989E-06   0.737665E-03  -0.903339E-06
    47   0.114384E+04   0.101843E+00   0.224877E-03   0.143806E+01   0.165483E-06   0.722579E-03  -0.858874E-06
    48   0.115706E+04   0.109022E+00   0.230769E-03   0.130902E+01   0.164947E-06   0.707938E-03  -0.846598E-06
    49   0.117034E+04   0.116469E+00   0.236566E-03   0.117770E+01   0.164381E-06   0.693767E-03  -0.870047E-06
    50   0.118393E+04   0.124143E+00   0.242256E-03   0.104147E+01   0.163789E-06   0.680096E-03  -0.932752E-06
    51   0.119760E+04   0.132006E+00   0.247832E-03   0.895962E+00   0.163173E-06   0.666939E-03  -0.103403E-05
    52   0.121158E+04   0.140142E+00   0.253285E-03   0.735314E+00   0.162533E-06   0.654265E-03  -0.115636E-05
    53   0.122550E+04   0.148706E+00   0.258611E-03   0.555164E+00   0.161871E-06   0.642030E-03  -0.127804E-05
    54   0.123927E+04   0.157694E+00   0.263805E-03   0.359114E+00   0.161189E-06   0.630191E-03  -0.137745E-05
    55   0.125312E+04   0.167089E+00   0.268860E-03   0.150881E+00   0.160487E-06   0.618705E-03  -0.143296E-05
    56   0.126728E+04   0.176751E+00   0.273772E-03  -0.716574E-01   0.159767E-06   0.607533E-03  -0.143043E-05
    57   0.128167E+04   0.186571E+00   0.278537E-03  -0.307683E+00   0.159031E-06   0.596639E-03  -0.138524E-05
    58   0.129631E+04   0.196557E+00   0.283149E-03  -0.556874E+00   0.158278E-06   0.585994E-03  -0.132016E-05
    59   0.131107E+04   0.206746E+00   0.287605E-03  -0.818931E+00   0.157510E-06   0.575568E-03  -0.125791E-05
    60   0.132595E+04   0.217191E+00   0.291899E-03  -0.109212E+01   0.156726E-06   0.565329E-03  -0.122116E-05
    61   0.134126E+04   0.227982E+00   0.296029E-03  -0.137480E+01   0.155929E-06   0.555257E-03  -0.122585E-05
    62   0.135641E+04   0.239104E+00   0.299991E-03  -0.166807E+01   0.155120E-06   0.545374E-03  -0.126113E-05
    63   0.137162E+04   0.250515E+00   0.303780E-03  -0.197335E+01   0.154299E-06   0.535709E-03  -0.130946E-05
    64   0.138718E+04   0.262224E+00   0.307394E-03  -0.229225E+01   0.153468E-06   0.526295E-03  -0.135334E-05
    65   0.140273E+04   0.274204E+00   0.310828E-03  -0.262584E+01   0.152629E-06   0.517162E-03  -0.137528E-05
    66   0.141855E+04   0.286385E+00   0.314080E-03  -0.297263E+01   0.151782E-06   0.508334E-03  -0.136326E-05
    67   0.143449E+04   0.298768E+00   0.317148E-03  -0.333013E+01   0.150929E-06   0.499814E-03  -0.132695E-05
    68   0.145082E+04   0.311395E+00   0.320031E-03  -0.369691E+01   0.150070E-06   0.491596E-03  -0.128142E-05
    69   0.146732E+04   0.324225E+00   0.322728E-03  -0.407146E+01   0.149205E-06   0.483673E-03  -0.124174E-05
    70   0.148412E+04   0.337300E+00   0.325238E-03  -0.445568E+01   0.148336E-06   0.476043E-03  -0.122294E-05
    71   0.150106E+04   0.350608E+00   0.327560E-03  -0.485209E+01   0.147462E-06   0.468692E-03  -0.123538E-05
    72   0.151816E+04   0.364119E+00   0.329693E-03  -0.526173E+01   0.146585E-06   0.461587E-03  -0.127081E-05
    73   0.153540E+04   0.377794E+00   0.331639E-03  -0.568475E+01   0.145704E-06   0.454686E-03  -0.131630E-05
    74   0.155279E+04   0.391616E+00   0.333396E-03  -0.611984E+01   0.144819E-06   0.447947E-03  -0.135896E-05
    75   0.157045E+04   0.405591E+00   0.334964E-03  -0.656507E+01   0.143930E-06   0.441331E-03  -0.138590E-05
    76   0.158833E+04   0.419715E+00   0.336345E-03  -0.701948E+01   0.143038E-06   0.434803E-03  -0.138739E-05
    77   0.160649E+04   0.433981E+00   0.337539E-03  -0.748301E+01   0.142143E-06   0.428361E-03  -0.136622E-05
    78   0.162498E+04   0.448414E+00   0.338547E-03  -0.795729E+01   0.141246E-06   0.422009E-03  -0.132830E-05
    79   0.164364E+04   0.462960E+00   0.339370E-03  -0.843876E+01   0.140347E-06   0.415752E-03  -0.127954E-05
    80   0.166259E+04   0.477624E+00   0.340010E-03  -0.892905E+01   0.139447E-06   0.409593E-03  -0.122585E-05
    81   0.168175E+04   0.492356E+00   0.340468E-03  -0.942884E+01   0.138546E-06   0.403538E-03  -0.117319E-05
    82   0.170119E+04   0.507175E+00   0.340745E-03  -0.993714E+01   0.137645E-06   0.397587E-03  -0.112781E-05
    83   0.172081E+04   0.522051E+00   0.340842E-03  -0.104535E+02   0.136744E-06   0.391743E-03  -0.109603E-05
    84   0.174071E+04   0.536978E+00   0.340759E-03  -0.109760E+02   0.135843E-06   0.386007E-03  -0.108415E-05
    85   0.176071E+04   0.551929E+00   0.340497E-03  -0.115057E+02   0.134944E-06   0.380382E-03  -0.109847E-05
    86   0.178091E+04   0.566911E+00   0.340058E-03  -0.120415E+02   0.134046E-06   0.374867E-03  -0.114266E-05
    87   0.180151E+04   0.581893E+00   0.339444E-03  -0.125825E+02   0.133150E-06   0.369465E-03  -0.120988E-05
    88   0.182210E+04   0.596887E+00   0.338659E-03  -0.131288E+02   0.132255E-06   0.364177E-03  -0.129067E-05
    89   0.184304E+04   0.611878E+00   0.337704E-03  -0.136820E+02   0.131363E-06   0.359004E-03  -0.137558E-05
    90   0.186419E+04   0.626825E+00   0.336583E-03  -0.142391E+02   0.130472E-06   0.353948E-03  -0.145517E-05
    91   0.188550E+04   0.641721E+00   0.335300E-03  -0.148009E+02   0.129585E-06   0.349008E-03  -0.152172E-05
    92   0.190710E+04   0.656549E+00   0.333858E-03  -0.153667E+02   0.128700E-06   0.344184E-03  -0.157448E-05
    93   0.192899E+04   0.671302E+00   0.332262E-03  -0.159365E+02   0.127817E-06   0.339471E-03  -0.161441E-05
    94   0.195096E+04   0.685942E+00   0.330516E-03  -0.165088E+02   0.126938E-06   0.334868E-03  -0.164248E-05
    95   0.197322E+04   0.700469E+00   0.328624E-03  -0.170844E+02   0.126061E-06   0.330371E-03  -0.165967E-05
    96   0.199548E+04   0.714867E+00   0.326592E-03  -0.176626E+02   0.125188E-06   0.325978E-03  -0.166693E-05
    97   0.201819E+04   0.729121E+00   0.324423E-03  -0.182426E+02   0.124317E-06   0.321686E-03  -0.166524E-05
    98   0.204111E+04   0.743225E+00   0.322122E-03  -0.188223E+02   0.123450E-06   0.317493E-03  -0.165556E-05
    99   0.206410E+04   0.757139E+00   0.319693E-03  -0.194046E+02   0.122587E-06   0.313395E-03  -0.163885E-05
   100   0.208739E+04   0.770863E+00   0.317140E-03  -0.199852E+02   0.121727E-06   0.309390E-03  -0.161607E-05
   101   0.211083E+04   0.784457E+00   0.314468E-03  -0.205669E+02   0.120870E-06   0.305474E-03  -0.158820E-05
   102   0.213478E+04   0.797772E+00   0.311682E-03  -0.211475E+02   0.120017E-06   0.301647E-03  -0.155619E-05
   103   0.215864E+04   0.810881E+00   0.308785E-03  -0.217280E+02   0.119169E-06   0.297903E-03  -0.152101E-05
   104   0.218273E+04   0.823785E+00   0.305783E-03  -0.223052E+02   0.118324E-06   0.294242E-03  -0.148361E-05
   105   0.220696E+04   0.836407E+00   0.302679E-03  -0.228807E+02   0.117483E-06   0.290660E-03  -0.144496E-05
   106   0.223141E+04   0.848824E+00   0.299477E-03  -0.234538E+02   0.116646E-06   0.287155E-03  -0.140602E-05
   107   0.225578E+04   0.860884E+00   0.296183E-03  -0.240230E+02   0.115814E-06   0.283723E-03  -0.136775E-05
   108   0.228051E+04   0.872663E+00   0.292801E-03  -0.245891E+02   0.114986E-06   0.280362E-03  -0.133110E-05
   109   0.230539E+04   0.884085E+00   0.289335E-03  -0.251506E+02   0.114163E-06   0.277070E-03  -0.129703E-05
   110   0.233033E+04   0.895151E+00   0.285789E-03  -0.257061E+02   0.113344E-06   0.273844E-03  -0.126651E-05
   111   0.235541E+04   0.905934E+00   0.282168E-03  -0.262570E+02   0.112531E-06   0.270681E-03  -0.124028E-05
   112   0.238063E+04   0.916361E+00   0.278477E-03  -0.268026E+02   0.111722E-06   0.267579E-03  -0.121820E-05
   113   0.240608E+04   0.926433E+00   0.274721E-03  -0.273415E+02   0.110918E-06   0.264537E-03  -0.119993E-05
   114   0.243159E+04   0.936076E+00   0.270904E-03  -0.278728E+02   0.110119E-06   0.261553E-03  -0.118514E-05
   115   0.245733E+04   0.945442E+00   0.267031E-03  -0.283967E+02   0.109324E-06   0.258625E-03  -0.117347E-05
