#    L    TT             EE             TE             PP             TP          
     2   0.876389E+03   0.369312E-01   0.316657E+01   0.121059E+07   0.190373E+05
     3   0.854655E+03   0.681982E-01   0.399992E+01   0.186572E+07   0.238469E+05
     4   0.823925E+03   0.879290E-01   0.424292E+01   0.244931E+07   0.264450E+05
     5   0.797541E+03   0.909239E-01   0.410015E+01   0.296755E+07   0.278072E+05
     6   0.777382E+03   0.797349E-01   0.374356E+01   0.342770E+07   0.284504E+05
     7   0.763291E+03   0.609567E-01   0.328937E+01   0.383821E+07   0.286519E+05
     8   0.754114E+03   0.414236E-01   0.281728E+01   0.420592E+07   0.285184E+05
     9   0.749088E+03   0.257672E-01   0.237266E+01   0.453683E+07   0.281314E+05
    10   0.747313E+03   0.157326E-01   0.198211E+01   0.483501E+07   0.275939E+05
    11   0.748033E+03   0.107067E-01   0.166198E+01   0.510557E+07   0.270142E+05
    12   0.751648E+03   0.898502E-02   0.142416E+01   0.535030E+07   0.264244E+05
    13   0.756496E+03   0.854441E-02   0.126641E+01   0.557193E+07   0.258328E+05
    14   0.761783E+03   0.829850E-02   0.118044E+01   0.577347E+07   0.252448E+05
    15   0.768037E+03   0.790482E-02   0.115528E+01   0.595680E+07   0.246549E+05
    16   0.775853E+03   0.727202E-02   0.117930E+01   0.612353E+07   0.240596E+05
    17   0.785068E+03   0.678963E-02   0.123779E+01   0.627535E+07   0.234715E+05
    18   0.794625E+03   0.669679E-02   0.131748E+01   0.641381E+07   0.229039E+05
    19   0.805418E+03   0.699853E-02   0.140733E+01   0.653964E+07   0.223576E+05
    20   0.815865E+03   0.766655E-02   0.149510E+01   0.665355E+07   0.218303E+05
    21   0.826348E+03   0.850610E-02   0.157594E+01   0.675677E+07   0.213193E+05
    22   0.837157E+03   0.939680E-02   0.164656E+01   0.685053E+07   0.208207E+05
    23   0.848106E+03   0.103230E-01   0.170748E+01   0.693541E+07   0.203264E+05
    24   0.859259E+03   0.112828E-01   0.176008E+01   0.701189E+07   0.198314E+05
    25   0.870583E+03   0.123971E-01   0.180537E+01   0.708064E+07   0.193467E+05
    26   0.881914E+03   0.137598E-01   0.184578E+01   0.714237E+07   0.188833E+05
    27   0.893476E+03   0.154002E-01   0.188256E+01   0.719763E+07   0.184360E+05
