#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.876389E+03   0.316657E+01   0.204228E-02   0.316657E+01   0.369312E-01  -0.134472E-04   0.204228E-02  -0.134472E-04   0.583591E-07
     3   0.854655E+03   0.399992E+01   0.214394E-02   0.399992E+01   0.681982E-01  -0.173225E-04   0.214394E-02  -0.173225E-04   0.710645E-07
     4   0.823925E+03   0.424292E+01   0.215816E-02   0.424292E+01   0.879290E-01  -0.187572E-04   0.215816E-02  -0.187572E-04   0.819957E-07
     5   0.797541E+03   0.410015E+01   0.213453E-02   0.410015E+01   0.909239E-01  -0.182107E-04   0.213453E-02  -0.182107E-04   0.915564E-07
     6   0.777382E+03   0.374356E+01   0.209354E-02   0.374356E+01   0.797349E-01  -0.161517E-04   0.209354E-02  -0.161517E-04   0.999595E-07
     7   0.763291E+03   0.328937E+01   0.204416E-02   0.328937E+01   0.609567E-01  -0.130712E-04   0.204416E-02  -0.130712E-04   0.107409E-06
     8   0.754114E+03   0.281728E+01   0.198714E-02   0.281728E+01   0.414236E-01  -0.943822E-05   0.198714E-02  -0.943822E-05   0.114050E-06
     9   0.749088E+03   0.237266E+01   0.192398E-02   0.237266E+01   0.257672E-01  -0.572851E-05   0.192398E-02  -0.572851E-05   0.120004E-06
    10   0.747313E+03   0.198211E+01   0.185898E-02   0.198211E+01   0.157326E-01  -0.238152E-05   0.185898E-02  -0.238152E-05   0.125346E-06
    11   0.748033E+03   0.166198E+01   0.179742E-02   0.166198E+01   0.107067E-01   0.310999E-06   0.179742E-02   0.310999E-06   0.130182E-06
    12   0.751648E+03   0.142416E+01   0.173987E-02   0.142416E+01   0.898502E-02   0.224076E-05   0.173987E-02   0.224076E-05   0.134533E-06
    13   0.756496E+03   0.126641E+01   0.168587E-02   0.126641E+01   0.854441E-02   0.338203E-05   0.168587E-02   0.338203E-05   0.138453E-06
    14   0.761783E+03   0.118044E+01   0.163489E-02   0.118044E+01   0.829850E-02   0.373850E-05   0.163489E-02   0.373850E-05   0.142001E-06
    15   0.768037E+03   0.115528E+01   0.158606E-02   0.115528E+01   0.790482E-02   0.338531E-05   0.158606E-02   0.338531E-05   0.145211E-06
    16   0.775853E+03   0.117930E+01   0.153871E-02   0.117930E+01   0.727202E-02   0.245527E-05   0.153871E-02   0.245527E-05   0.148111E-06
    17   0.785068E+03   0.123779E+01   0.149331E-02   0.123779E+01   0.678963E-02   0.124033E-05   0.149331E-02   0.124033E-05   0.150735E-06
    18   0.794625E+03   0.131748E+01   0.145045E-02   0.131748E+01   0.669679E-02   0.284062E-07   0.145045E-02   0.284062E-07   0.153111E-06
    19   0.805418E+03   0.140733E+01   0.140998E-02   0.140733E+01   0.699853E-02  -0.106783E-05   0.140998E-02  -0.106783E-05   0.155251E-06
    20   0.815865E+03   0.149510E+01   0.137157E-02   0.149510E+01   0.766655E-02  -0.198428E-05   0.137157E-02  -0.198428E-05   0.157166E-06
    21   0.826348E+03   0.157594E+01   0.133491E-02   0.157594E+01   0.850610E-02  -0.267593E-05   0.133491E-02  -0.267593E-05   0.158882E-06
    22   0.837157E+03   0.164656E+01   0.129965E-02   0.164656E+01   0.939680E-02  -0.309807E-05   0.129965E-02  -0.309807E-05   0.160421E-06
    23   0.848106E+03   0.170748E+01   0.126520E-02   0.170748E+01   0.103230E-01  -0.318815E-05   0.126520E-02  -0.318815E-05   0.161796E-06
    24   0.859259E+03   0.176008E+01   0.123118E-02   0.176008E+01   0.112828E-01  -0.292000E-05   0.123118E-02  -0.292000E-05   0.163012E-06
    25   0.870583E+03   0.180537E+01   0.119821E-02   0.180537E+01   0.123971E-01  -0.243067E-05   0.119821E-02  -0.243067E-05   0.164084E-06
    26   0.881914E+03   0.184578E+01   0.116691E-02   0.184578E+01   0.137598E-01  -0.188241E-05   0.116691E-02  -0.188241E-05   0.165026E-06
    27   0.893476E+03   0.188256E+01   0.113692E-02   0.188256E+01   0.154002E-01  -0.137508E-05   0.113692E-02  -0.137508E-05   0.165846E-06
    28   0.905115E+03   0.191781E+01   0.110777E-02   0.191781E+01   0.173474E-01  -0.972697E-06   0.110777E-02  -0.972697E-06   0.166555E-06
    29   0.916930E+03   0.195307E+01   0.107955E-02   0.195307E+01   0.195804E-01  -0.658501E-06   0.107955E-02  -0.658501E-06   0.167151E-06
    30   0.928860E+03   0.198820E+01   0.105246E-02   0.198820E+01   0.220779E-01  -0.411689E-06   0.105246E-02  -0.411689E-06   0.167635E-06
    31   0.940709E+03   0.202333E+01   0.102670E-02   0.202333E+01   0.248255E-01  -0.276147E-06   0.102670E-02  -0.276147E-06   0.168022E-06
    32   0.952656E+03   0.205787E+01   0.100235E-02   0.205787E+01   0.278024E-01  -0.300294E-06   0.100235E-02  -0.300294E-06   0.168325E-06
    33   0.964744E+03   0.208831E+01   0.979288E-03   0.208831E+01   0.310019E-01  -0.485973E-06   0.979288E-03  -0.485973E-06   0.168549E-06
    34   0.976871E+03   0.211193E+01   0.957283E-03   0.211193E+01   0.344329E-01  -0.804071E-06   0.957283E-03  -0.804071E-06   0.168697E-06
    35   0.989076E+03   0.212885E+01   0.935990E-03   0.212885E+01   0.381045E-01  -0.114821E-05   0.935990E-03  -0.114821E-05   0.168773E-06
    36   0.100133E+04   0.213825E+01   0.915122E-03   0.213825E+01   0.420264E-01  -0.141276E-05   0.915122E-03  -0.141276E-05   0.168784E-06
    37   0.101358E+04   0.213652E+01   0.894752E-03   0.213652E+01   0.461773E-01  -0.157238E-05   0.894752E-03  -0.157238E-05   0.168732E-06
    38   0.102604E+04   0.212202E+01   0.875009E-03   0.212202E+01   0.505407E-01  -0.162755E-05   0.875009E-03  -0.162755E-05   0.168622E-06
    39   0.103872E+04   0.209503E+01   0.855906E-03   0.209503E+01   0.551218E-01  -0.160180E-05   0.855906E-03  -0.160180E-05   0.168458E-06
    40   0.105141E+04   0.205613E+01   0.837424E-03   0.205613E+01   0.599366E-01  -0.152444E-05   0.837424E-03  -0.152444E-05   0.168241E-06
    41   0.106426E+04   0.200555E+01   0.819539E-03   0.200555E+01   0.650058E-01  -0.142148E-05   0.819539E-03  -0.142148E-05   0.167973E-06
    42   0.107703E+04   0.194299E+01   0.802213E-03   0.194299E+01   0.703486E-01  -0.130571E-05   0.802213E-03  -0.130571E-05   0.167659E-06
    43   0.108987E+04   0.186801E+01   0.785405E-03   0.186801E+01   0.759833E-01  -0.118662E-05   0.785405E-03  -0.118662E-05   0.167300E-06
    44   0.110263E+04   0.178108E+01   0.769070E-03   0.178108E+01   0.819138E-01  -0.107370E-05   0.769070E-03  -0.107370E-05   0.166900E-06
    45   0.111565E+04   0.168273E+01   0.753167E-03   0.168273E+01   0.881539E-01  -0.976453E-06   0.753167E-03  -0.976453E-06   0.166462E-06
    46   0.112886E+04   0.157171E+01   0.737665E-03   0.157171E+01   0.947153E-01  -0.903360E-06   0.737665E-03  -0.903360E-06   0.165989E-06
    47   0.114212E+04   0.144945E+01   0.722579E-03   0.144945E+01   0.101587E+00  -0.858934E-06   0.722579E-03  -0.858934E-06   0.165483E-06
    48   0.115536E+04   0.132072E+01   0.707938E-03   0.132072E+01   0.108758E+00  -0.846684E-06   0.707938E-03  -0.846684E-06   0.164947E-06
    49   0.116867E+04   0.118969E+01   0.693767E-03   0.118969E+01   0.116197E+00  -0.870120E-06   0.693767E-03  -0.870120E-06   0.164381E-06
    50   0.118228E+04   0.105374E+01   0.680096E-03   0.105374E+01   0.123863E+00  -0.932752E-06   0.680096E-03  -0.932752E-06   0.163789E-06
    51   0.119598E+04   0.908501E+00   0.666938E-03   0.908501E+00   0.131717E+00  -0.103390E-05   0.666938E-03  -0.103390E-05   0.163173E-06
    52   0.120999E+04   0.748114E+00   0.654264E-03   0.748114E+00   0.139846E+00  -0.115612E-05   0.654264E-03  -0.115612E-05   0.162533E-06
    53   0.122393E+04   0.568215E+00   0.642029E-03   0.568215E+00   0.148402E+00  -0.127779E-05   0.642029E-03  -0.127779E-05   0.161871E-06
    54   0.123773E+04   0.372405E+00   0.630191E-03   0.372405E+00   0.157382E+00  -0.137728E-05   0.630191E-03  -0.137728E-05   0.161189E-06
    55   0.125161E+04   0.164403E+00   0.618706E-03   0.164403E+00   0.166769E+00  -0.143296E-05   0.618706E-03  -0.143296E-05   0.160487E-06
    56   0.126579E+04  -0.579156E-01   0.607533E-03  -0.579156E-01   0.176423E+00  -0.143059E-05   0.607533E-03  -0.143059E-05   0.159767E-06
    57   0.128021E+04  -0.293732E+00   0.596639E-03  -0.293732E+00   0.186236E+00  -0.138551E-05   0.596639E-03  -0.138551E-05   0.159031E-06
    58   0.129488E+04  -0.542726E+00   0.585994E-03  -0.542726E+00   0.196215E+00  -0.132043E-05   0.585994E-03  -0.132043E-05   0.158278E-06
    59   0.130966E+04  -0.804597E+00   0.575568E-03  -0.804597E+00   0.206397E+00  -0.125807E-05   0.575568E-03  -0.125807E-05   0.157510E-06
    60   0.132456E+04  -0.107761E+01   0.565329E-03  -0.107761E+01   0.216834E+00  -0.122116E-05   0.565329E-03  -0.122116E-05   0.156726E-06
    61   0.133990E+04  -0.136014E+01   0.555257E-03  -0.136014E+01   0.227618E+00  -0.122571E-05   0.555257E-03  -0.122571E-05   0.155929E-06
    62   0.135508E+04  -0.165326E+01   0.545374E-03  -0.165326E+01   0.238733E+00  -0.126091E-05   0.545374E-03  -0.126091E-05   0.155120E-06
