#    L    TT             EE             BB             TE          
     2   0.301850E+01   0.745402E-04   0.109064E-03   0.261774E-03
     3   0.237146E+01   0.107444E-03   0.137689E-03  -0.368747E-02
     4   0.221175E+01   0.126951E-03   0.147848E-03  -0.518315E-02
     5   0.214702E+01   0.130345E-03   0.142248E-03  -0.559422E-02
     6   0.211595E+01   0.120700E-03   0.126204E-03  -0.540727E-02
     7   0.210108E+01   0.103388E-03   0.105236E-03  -0.491298E-02
     8   0.209486E+01   0.830288E-04   0.840168E-04  -0.432390E-02
     9   0.209395E+01   0.639920E-04   0.655172E-04  -0.374642E-02
    10   0.209647E+01   0.487742E-04   0.510380E-04  -0.323174E-02
    11   0.210012E+01   0.384186E-04   0.409903E-04  -0.281750E-02
    12   0.210115E+01   0.327466E-04   0.351071E-04  -0.250385E-02
    13   0.210131E+01   0.309077E-04   0.326655E-04  -0.228982E-02
    14   0.210327E+01   0.319488E-04   0.328768E-04  -0.217331E-02
    15   0.210750E+01   0.349495E-04   0.350256E-04  -0.213828E-02
    16   0.211350E+01   0.390860E-04   0.384699E-04  -0.216713E-02
    17   0.211917E+01   0.438901E-04   0.427881E-04  -0.224977E-02
    18   0.212251E+01   0.490404E-04   0.476487E-04  -0.237764E-02
    19   0.212340E+01   0.544470E-04   0.528607E-04  -0.254080E-02
    20   0.212222E+01   0.600810E-04   0.582882E-04  -0.273073E-02
    21   0.211936E+01   0.659253E-04   0.638771E-04  -0.294600E-02
    22   0.211517E+01   0.719610E-04   0.695949E-04  -0.318606E-02
    23   0.210970E+01   0.781504E-04   0.754152E-04  -0.344691E-02
    24   0.210299E+01   0.844598E-04   0.813159E-04  -0.372404E-02
    25   0.209515E+01   0.908903E-04   0.872865E-04  -0.401432E-02
    26   0.208629E+01   0.974487E-04   0.933212E-04  -0.431515E-02
    27   0.207639E+01   0.104129E-03   0.994210E-04  -0.462459E-02
    28   0.206545E+01   0.110927E-03   0.105587E-03  -0.494159E-02
    29   0.205356E+01   0.117862E-03   0.111814E-03  -0.526795E-02
    30   0.204082E+01   0.124950E-03   0.118092E-03  -0.560500E-02
    31   0.202721E+01   0.132175E-03   0.124404E-03  -0.594913E-02
    32   0.201269E+01   0.139507E-03   0.130736E-03  -0.629648E-02
    33   0.199736E+01   0.146887E-03   0.137085E-03  -0.664703E-02
    34   0.198133E+01   0.154270E-03   0.143448E-03  -0.700110E-02
    35   0.196459E+01   0.161708E-03   0.149821E-03  -0.735660E-02
    36   0.194713E+01   0.169258E-03   0.156200E-03  -0.771130E-02
    37   0.192898E+01   0.176916E-03   0.162586E-03  -0.806460E-02
    38   0.191018E+01   0.184659E-03   0.168978E-03  -0.841622E-02
    39   0.189076E+01   0.192473E-03   0.175363E-03  -0.876539E-02
    40   0.187074E+01   0.200343E-03   0.181725E-03  -0.911124E-02
    41   0.185016E+01   0.208256E-03   0.188049E-03  -0.945298E-02
    42   0.182904E+01   0.216204E-03   0.194328E-03  -0.979013E-02
    43   0.180740E+01   0.224182E-03   0.200557E-03  -0.101223E-01
    44   0.178527E+01   0.232182E-03   0.206732E-03  -0.104492E-01
    45   0.176269E+01   0.240197E-03   0.212848E-03  -0.107704E-01
    46   0.173967E+01   0.248222E-03   0.218900E-03  -0.110854E-01
    47   0.171624E+01   0.256248E-03   0.224877E-03  -0.113934E-01
    48   0.169243E+01   0.264268E-03   0.230769E-03  -0.116936E-01
    49   0.166826E+01   0.272275E-03   0.236566E-03  -0.119852E-01
    50   0.164375E+01   0.280260E-03   0.242256E-03  -0.122672E-01
    51   0.161893E+01   0.288217E-03   0.247832E-03  -0.125389E-01
    52   0.159382E+01   0.296136E-03   0.253285E-03  -0.128002E-01
    53   0.156844E+01   0.304011E-03   0.258611E-03  -0.130511E-01
    54   0.154281E+01   0.311831E-03   0.263805E-03  -0.132917E-01
    55   0.151696E+01   0.319590E-03   0.268860E-03  -0.135219E-01
    56   0.149091E+01   0.327278E-03   0.273772E-03  -0.137418E-01
    57   0.146469E+01   0.334885E-03   0.278537E-03  -0.139508E-01
    58   0.143832E+01   0.342400E-03   0.283149E-03  -0.141483E-01
    59   0.141183E+01   0.349812E-03   0.287605E-03  -0.143338E-01
    60   0.138525E+01   0.357111E-03   0.291899E-03  -0.145067E-01
    61   0.135860E+01   0.364287E-03   0.296029E-03  -0.146667E-01
    62   0.133190E+01   0.371342E-03   0.299991E-03  -0.148137E-01
    63   0.130517E+01   0.378279E-03   0.303780E-03  -0.149483E-01
    64   0.127841E+01   0.385101E-03   0.307394E-03  -0.150705E-01
    65   0.125165E+01   0.391813E-03   0.310828E-03  -0.151809E-01
    66   0.122489E+01   0.398412E-03   0.314080E-03  -0.152794E-01
    67   0.119818E+01   0.404884E-03   0.317148E-03  -0.153659E-01
    68   0.117152E+01   0.411210E-03   0.320031E-03  -0.154398E-01
    69   0.114495E+01   0.417368E-03   0.322728E-03  -0.155007E-01
    70   0.111850E+01   0.423341E-03   0.325238E-03  -0.155481E-01
    71   0.109219E+01   0.429115E-03   0.327560E-03  -0.155817E-01
    72   0.106602E+01   0.434697E-03   0.329693E-03  -0.156022E-01
    73   0.104001E+01   0.440104E-03   0.331639E-03  -0.156104E-01
    74   0.101417E+01   0.445349E-03   0.333396E-03  -0.156069E-01
    75   0.988497E+00   0.450448E-03   0.334964E-03  -0.155926E-01
    76   0.963007E+00   0.455410E-03   0.336345E-03  -0.155681E-01
    77   0.937718E+00   0.460218E-03   0.337539E-03  -0.155333E-01
    78   0.912653E+00   0.464854E-03   0.338547E-03  -0.154878E-01
    79   0.887832E+00   0.469297E-03   0.339370E-03  -0.154314E-01
    80   0.863276E+00   0.473525E-03   0.340010E-03  -0.153636E-01
    81   0.839006E+00   0.477523E-03   0.340468E-03  -0.152844E-01
    82   0.815026E+00   0.481290E-03   0.340745E-03  -0.151939E-01
    83   0.791343E+00   0.484832E-03   0.340842E-03  -0.150927E-01
    84   0.767960E+00   0.488151E-03   0.340759E-03  -0.149811E-01
    85   0.744881E+00   0.491252E-03   0.340497E-03  -0.148595E-01
    86   0.722112E+00   0.494138E-03   0.340058E-03  -0.147284E-01
    87   0.699667E+00   0.496807E-03   0.339444E-03  -0.145881E-01
    88   0.677559E+00   0.499255E-03   0.338659E-03  -0.144390E-01
    89   0.655804E+00   0.501479E-03   0.337704E-03  -0.142814E-01
    90   0.634414E+00   0.503474E-03   0.336583E-03  -0.141157E-01
    91   0.613404E+00   0.505239E-03   0.335300E-03  -0.139423E-01
    92   0.592777E+00   0.506773E-03   0.333858E-03  -0.137614E-01
    93   0.572534E+00   0.508080E-03   0.332262E-03  -0.135734E-01
    94   0.552678E+00   0.509161E-03   0.330516E-03  -0.133787E-01
    95   0.533209E+00   0.510018E-03   0.328624E-03  -0.131776E-01
    96   0.514130E+00   0.510652E-03   0.326592E-03  -0.129704E-01
    97   0.495442E+00   0.511067E-03   0.324423E-03  -0.127575E-01
    98   0.477147E+00   0.511262E-03   0.322122E-03  -0.125393E-01
    99   0.459247E+00   0.511242E-03   0.319693E-03  -0.123159E-01
   100   0.441743E+00   0.511006E-03   0.317140E-03  -0.120879E-01
   101   0.424637E+00   0.510558E-03   0.314468E-03  -0.118555E-01
   102   0.407931E+00   0.509899E-03   0.311682E-03  -0.116191E-01
   103   0.391627E+00   0.509031E-03   0.308785E-03  -0.113790E-01
   104   0.375726E+00   0.507956E-03   0.305783E-03  -0.111355E-01
   105   0.360230E+00   0.506676E-03   0.302679E-03  -0.108890E-01
   106   0.345141E+00   0.505193E-03   0.299477E-03  -0.106399E-01
   107   0.330460E+00   0.503508E-03   0.296183E-03  -0.103884E-01
   108   0.316188E+00   0.501624E-03   0.292801E-03  -0.101349E-01
   109   0.302329E+00   0.499542E-03   0.289335E-03  -0.987977E-02
   110   0.288883E+00   0.497265E-03   0.285789E-03  -0.962332E-02
   111   0.275852E+00   0.494794E-03   0.282168E-03  -0.936588E-02
   112   0.263230E+00   0.492134E-03   0.278477E-03  -0.910771E-02
   113   0.251012E+00   0.489289E-03   0.274721E-03  -0.884905E-02
   114   0.239194E+00   0.486263E-03   0.270904E-03  -0.859014E-02
   115   0.227769E+00   0.483061E-03   0.267031E-03  -0.833124E-02
   116   0.216733E+00   0.479687E-03   0.263108E-03  -0.807257E-02
   117   0.206079E+00   0.476145E-03   0.259139E-03  -0.781439E-02
   118   0.195804E+00   0.472439E-03   0.255129E-03  -0.755694E-02
   119   0.185900E+00   0.468575E-03   0.251082E-03  -0.730046E-02
   120   0.176363E+00   0.464556E-03   0.247005E-03  -0.704520E-02
   121   0.167188E+00   0.460387E-03   0.242901E-03  -0.679139E-02
   122   0.158370E+00   0.456072E-03   0.238776E-03  -0.653930E-02
   123   0.149901E+00   0.451615E-03   0.234634E-03  -0.628915E-02
   124   0.141779E+00   0.447021E-03   0.230481E-03  -0.604119E-02
   125   0.133996E+00   0.442294E-03   0.226321E-03  -0.579566E-02
   126   0.126548E+00   0.437439E-03   0.222159E-03  -0.555282E-02
   127   0.119430E+00   0.432459E-03   0.218000E-03  -0.531289E-02
   128   0.112635E+00   0.427360E-03   0.213849E-03  -0.507614E-02
   129   0.106160E+00   0.422145E-03   0.209710E-03  -0.484279E-02
   130   0.999969E-01   0.416819E-03   0.205589E-03  -0.461309E-02
   131   0.941418E-01   0.411386E-03   0.201491E-03  -0.438727E-02
   132   0.885868E-01   0.405853E-03   0.197417E-03  -0.416543E-02
   133   0.833244E-01   0.400227E-03   0.193372E-03  -0.394767E-02
   134   0.783467E-01   0.394513E-03   0.189356E-03  -0.373407E-02
   135   0.736460E-01   0.388718E-03   0.185374E-03  -0.352472E-02
   136   0.692148E-01   0.382849E-03   0.181428E-03  -0.331971E-02
   137   0.650451E-01   0.376913E-03   0.177520E-03  -0.311913E-02
   138   0.611295E-01   0.370915E-03   0.173652E-03  -0.292307E-02
   139   0.574600E-01   0.364862E-03   0.169829E-03  -0.273162E-02
   140   0.540291E-01   0.358761E-03   0.166051E-03  -0.254487E-02
   141   0.508291E-01   0.352619E-03   0.162322E-03  -0.236289E-02
   142   0.478521E-01   0.346441E-03   0.158645E-03  -0.218580E-02
   143   0.450906E-01   0.340235E-03   0.155022E-03  -0.201366E-02
   144   0.425367E-01   0.334006E-03   0.151455E-03  -0.184658E-02
   145   0.401829E-01   0.327762E-03   0.147948E-03  -0.168463E-02
   146   0.380214E-01   0.321509E-03   0.144503E-03  -0.152792E-02
   147   0.360445E-01   0.315253E-03   0.141123E-03  -0.137652E-02
   148   0.342444E-01   0.309001E-03   0.137809E-03  -0.123053E-02
   149   0.326135E-01   0.302759E-03   0.134566E-03  -0.109004E-02
   150   0.311441E-01   0.296535E-03   0.131395E-03  -0.955126E-03
   151   0.298288E-01   0.290333E-03   0.128299E-03  -0.825860E-03
   152   0.286615E-01   0.284159E-03   0.125278E-03  -0.702194E-03
   153   0.276364E-01   0.278016E-03   0.122332E-03  -0.584052E-03
   154   0.267477E-01   0.271908E-03   0.119462E-03  -0.471359E-03
   155   0.259898E-01   0.265839E-03   0.116667E-03  -0.364042E-03
   156   0.253567E-01   0.259814E-03   0.113949E-03  -0.262027E-03
   157   0.248428E-01   0.253836E-03   0.111306E-03  -0.165238E-03
   158   0.244423E-01   0.247910E-03   0.108739E-03  -0.736021E-04
   159   0.241493E-01   0.242038E-03   0.106249E-03   0.129557E-04
   160   0.239582E-01   0.236225E-03   0.103834E-03   0.945097E-04
   161   0.238632E-01   0.230476E-03   0.101497E-03   0.171134E-03
   162   0.238584E-01   0.224794E-03   0.992353E-04   0.242903E-03
   163   0.239381E-01   0.219182E-03   0.970508E-04   0.309892E-03
   164   0.240966E-01   0.213646E-03   0.949430E-04   0.372173E-03
   165   0.243281E-01   0.208188E-03   0.929123E-04   0.429823E-03
   166   0.246268E-01   0.202814E-03   0.909586E-04   0.482915E-03
   167   0.249869E-01   0.197526E-03   0.890821E-04   0.531523E-03
   168   0.254027E-01   0.192329E-03   0.872831E-04   0.575722E-03
   169   0.258684E-01   0.187227E-03   0.855615E-04   0.615587E-03
   170   0.263782E-01   0.182224E-03   0.839175E-04   0.651190E-03
   171   0.269263E-01   0.177324E-03   0.823513E-04   0.682608E-03
   172   0.275071E-01   0.172530E-03   0.808629E-04   0.709914E-03
   173   0.281146E-01   0.167847E-03   0.794526E-04   0.733183E-03
   174   0.287432E-01   0.163278E-03   0.781205E-04   0.752488E-03
   175   0.293870E-01   0.158829E-03   0.768666E-04   0.767905E-03
   176   0.300410E-01   0.154501E-03   0.756907E-04   0.779520E-03
   177   0.307024E-01   0.150296E-03   0.745910E-04   0.787476E-03
   178   0.313691E-01   0.146214E-03   0.735651E-04   0.791927E-03
   179   0.320390E-01   0.142255E-03   0.726108E-04   0.793027E-03
   180   0.327101E-01   0.138421E-03   0.717257E-04   0.790930E-03
   181   0.333802E-01   0.134710E-03   0.709077E-04   0.785793E-03
   182   0.340474E-01   0.131124E-03   0.701544E-04   0.777768E-03
   183   0.347093E-01   0.127662E-03   0.694635E-04   0.767011E-03
   184   0.353641E-01   0.124324E-03   0.688327E-04   0.753676E-03
   185   0.360096E-01   0.121112E-03   0.682599E-04   0.737918E-03
   186   0.366437E-01   0.118026E-03   0.677426E-04   0.719891E-03
   187   0.372643E-01   0.115065E-03   0.672786E-04   0.699750E-03
   188   0.378693E-01   0.112230E-03   0.668656E-04   0.677650E-03
   189   0.384567E-01   0.109521E-03   0.665013E-04   0.653745E-03
   190   0.390244E-01   0.106938E-03   0.661835E-04   0.628190E-03
   191   0.395702E-01   0.104483E-03   0.659099E-04   0.601138E-03
   192   0.400921E-01   0.102154E-03   0.656782E-04   0.572746E-03
   193   0.405880E-01   0.999529E-04   0.654860E-04   0.543167E-03
   194   0.410558E-01   0.978793E-04   0.653312E-04   0.512556E-03
   195   0.414934E-01   0.959335E-04   0.652114E-04   0.481068E-03
   196   0.418988E-01   0.941160E-04   0.651244E-04   0.448857E-03
   197   0.422697E-01   0.924268E-04   0.650678E-04   0.416077E-03
   198   0.426043E-01   0.908665E-04   0.650394E-04   0.382884E-03
   199   0.429003E-01   0.894351E-04   0.650369E-04   0.349432E-03
   200   0.431556E-01   0.881330E-04   0.650580E-04   0.315875E-03
   201   0.433688E-01   0.869598E-04   0.651007E-04   0.282347E-03
   202   0.435403E-01   0.859126E-04   0.651637E-04   0.248897E-03
   203   0.436712E-01   0.849880E-04   0.652461E-04   0.215551E-03
   204   0.437625E-01   0.841824E-04   0.653468E-04   0.182338E-03
   205   0.438154E-01   0.834923E-04   0.654649E-04   0.149285E-03
   206   0.438308E-01   0.829142E-04   0.655993E-04   0.116419E-03
   207   0.438098E-01   0.824445E-04   0.657491E-04   0.837678E-04
   208   0.437535E-01   0.820797E-04   0.659132E-04   0.513586E-04
   209   0.436629E-01   0.818164E-04   0.660907E-04   0.192190E-04
   210   0.435391E-01   0.816509E-04   0.662806E-04  -0.126236E-04
   211   0.433832E-01   0.815798E-04   0.664819E-04  -0.441417E-04
   212   0.431961E-01   0.815996E-04   0.666935E-04  -0.753080E-04
   213   0.429790E-01   0.817066E-04   0.669145E-04  -0.106095E-03
   214   0.427329E-01   0.818975E-04   0.671440E-04  -0.136475E-03
   215   0.424588E-01   0.821687E-04   0.673808E-04  -0.166421E-03
   216   0.421578E-01   0.825167E-04   0.676240E-04  -0.195905E-03
   217   0.418311E-01   0.829379E-04   0.678726E-04  -0.224900E-03
   218   0.414795E-01   0.834289E-04   0.681256E-04  -0.253379E-03
   219   0.411042E-01   0.839861E-04   0.683821E-04  -0.281313E-03
   220   0.407063E-01   0.846060E-04   0.686409E-04  -0.308677E-03
   221   0.402867E-01   0.852850E-04   0.689012E-04  -0.335441E-03
   222   0.398466E-01   0.860197E-04   0.691619E-04  -0.361579E-03
   223   0.393870E-01   0.868066E-04   0.694220E-04  -0.387063E-03
   224   0.389089E-01   0.876420E-04   0.696806E-04  -0.411866E-03
