#    L    TT             EE             BB             TE          
     2   0.879408E+03   0.370057E-01   0.109064E-03   0.316683E+01
     3   0.857026E+03   0.683056E-01   0.137689E-03   0.399623E+01
     4   0.826137E+03   0.880560E-01   0.147848E-03   0.423774E+01
     5   0.799688E+03   0.910543E-01   0.142248E-03   0.409456E+01
     6   0.779498E+03   0.798556E-01   0.126204E-03   0.373815E+01
     7   0.765392E+03   0.610601E-01   0.105236E-03   0.328446E+01
     8   0.756209E+03   0.415066E-01   0.840168E-04   0.281296E+01
     9   0.751182E+03   0.258312E-01   0.655172E-04   0.236891E+01
    10   0.749410E+03   0.157813E-01   0.510380E-04   0.197887E+01
    11   0.750133E+03   0.107451E-01   0.409903E-04   0.165916E+01
    12   0.753749E+03   0.901776E-02   0.351071E-04   0.142166E+01
    13   0.758597E+03   0.857531E-02   0.326655E-04   0.126412E+01
    14   0.763886E+03   0.833045E-02   0.328768E-04   0.117827E+01
    15   0.770144E+03   0.793977E-02   0.350256E-04   0.115314E+01
    16   0.777967E+03   0.731111E-02   0.384699E-04   0.117714E+01
    17   0.787187E+03   0.683352E-02   0.427881E-04   0.123554E+01
    18   0.796747E+03   0.674583E-02   0.476487E-04   0.131510E+01
    19   0.807541E+03   0.705297E-02   0.528607E-04   0.140479E+01
    20   0.817987E+03   0.772663E-02   0.582882E-04   0.149237E+01
    21   0.828468E+03   0.857202E-02   0.638771E-04   0.157299E+01
    22   0.839272E+03   0.946876E-02   0.695949E-04   0.164337E+01
    23   0.850216E+03   0.104011E-01   0.754152E-04   0.170403E+01
    24   0.861362E+03   0.113673E-01   0.813159E-04   0.175635E+01
    25   0.872679E+03   0.124880E-01   0.872865E-04   0.180135E+01
    26   0.884000E+03   0.138573E-01   0.933212E-04   0.184146E+01
    27   0.895552E+03   0.155044E-01   0.994210E-04   0.187793E+01
    28   0.907181E+03   0.174583E-01   0.105587E-03   0.191287E+01
    29   0.918984E+03   0.196983E-01   0.111814E-03   0.194780E+01
    30   0.930901E+03   0.222028E-01   0.118092E-03   0.198260E+01
    31   0.942736E+03   0.249577E-01   0.124404E-03   0.201738E+01
    32   0.954668E+03   0.279419E-01   0.130736E-03   0.205157E+01
    33   0.966742E+03   0.311488E-01   0.137085E-03   0.208167E+01
    34   0.978852E+03   0.345872E-01   0.143448E-03   0.210493E+01
    35   0.991040E+03   0.382662E-01   0.149821E-03   0.212149E+01
    36   0.100328E+04   0.421957E-01   0.156200E-03   0.213054E+01
    37   0.101551E+04   0.463542E-01   0.162586E-03   0.212846E+01
    38   0.102795E+04   0.507254E-01   0.168978E-03   0.211360E+01
    39   0.104061E+04   0.553143E-01   0.175363E-03   0.208626E+01
    40   0.105328E+04   0.601369E-01   0.181725E-03   0.204702E+01
    41   0.106611E+04   0.652141E-01   0.188049E-03   0.199610E+01
    42   0.107886E+04   0.705648E-01   0.194328E-03   0.193320E+01
    43   0.109168E+04   0.762075E-01   0.200557E-03   0.185789E+01
    44   0.110441E+04   0.821459E-01   0.206732E-03   0.177063E+01
    45   0.111741E+04   0.883941E-01   0.212848E-03   0.167196E+01
    46   0.113060E+04   0.949635E-01   0.218900E-03   0.156062E+01
    47   0.114384E+04   0.101843E+00   0.224877E-03   0.143806E+01
    48   0.115706E+04   0.109022E+00   0.230769E-03   0.130902E+01
    49   0.117034E+04   0.116469E+00   0.236566E-03   0.117770E+01
    50   0.118393E+04   0.124143E+00   0.242256E-03   0.104147E+01
    51   0.119760E+04   0.132006E+00   0.247832E-03   0.895962E+00
    52   0.121158E+04   0.140142E+00   0.253285E-03   0.735314E+00
    53   0.122550E+04   0.148706E+00   0.258611E-03   0.555164E+00
    54   0.123927E+04   0.157694E+00   0.263805E-03   0.359114E+00
    55   0.125312E+04   0.167089E+00   0.268860E-03   0.150881E+00
    56   0.126728E+04   0.176751E+00   0.273772E-03  -0.716574E-01
    57   0.128167E+04   0.186571E+00   0.278537E-03  -0.307683E+00
    58   0.129631E+04   0.196557E+00   0.283149E-03  -0.556874E+00
    59   0.131107E+04   0.206746E+00   0.287605E-03  -0.818931E+00
    60   0.132595E+04   0.217191E+00   0.291899E-03  -0.109212E+01
    61   0.134126E+04   0.227982E+00   0.296029E-03  -0.137480E+01
    62   0.135641E+04   0.239104E+00   0.299991E-03  -0.166807E+01
    63   0.137162E+04   0.250515E+00   0.303780E-03  -0.197335E+01
    64   0.138718E+04   0.262224E+00   0.307394E-03  -0.229225E+01
    65   0.140273E+04   0.274204E+00   0.310828E-03  -0.262584E+01
    66   0.141855E+04   0.286385E+00   0.314080E-03  -0.297263E+01
    67   0.143449E+04   0.298768E+00   0.317148E-03  -0.333013E+01
    68   0.145082E+04   0.311395E+00   0.320031E-03  -0.369691E+01
    69   0.146732E+04   0.324225E+00   0.322728E-03  -0.407146E+01
    70   0.148412E+04   0.337300E+00   0.325238E-03  -0.445568E+01
    71   0.150106E+04   0.350608E+00   0.327560E-03  -0.485209E+01
    72   0.151816E+04   0.364119E+00   0.329693E-03  -0.526173E+01
    73   0.153540E+04   0.377794E+00   0.331639E-03  -0.568475E+01
    74   0.155279E+04   0.391616E+00   0.333396E-03  -0.611984E+01
    75   0.157045E+04   0.405591E+00   0.334964E-03  -0.656507E+01
    76   0.158833E+04   0.419715E+00   0.336345E-03  -0.701948E+01
    77   0.160649E+04   0.433981E+00   0.337539E-03  -0.748301E+01
    78   0.162498E+04   0.448414E+00   0.338547E-03  -0.795729E+01
    79   0.164364E+04   0.462960E+00   0.339370E-03  -0.843876E+01
    80   0.166259E+04   0.477624E+00   0.340010E-03  -0.892905E+01
    81   0.168175E+04   0.492356E+00   0.340468E-03  -0.942884E+01
    82   0.170119E+04   0.507175E+00   0.340745E-03  -0.993714E+01
    83   0.172081E+04   0.522051E+00   0.340842E-03  -0.104535E+02
    84   0.174071E+04   0.536978E+00   0.340759E-03  -0.109760E+02
    85   0.176071E+04   0.551929E+00   0.340497E-03  -0.115057E+02
